time	cases
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	3.330925
8	4.664994
9	4.664994
10	6.000763
11	8.509154
12	7.676422
13	15.347746
14	23.180518
15	35.841432
16	48.332401
17	64.868064
18	64.868064
19	112.112815
20	141.700266
21	172.375366
22	211.411767
23	268.513337
24	318.817101
25	368.271140
26	420.614246
27	497.939290
28	594.977970
29	650.380089
30	674.342355
31	741.305843
32	784.471911
33	794.328729
34	786.001417
35	760.339699
36	811.663135
37	714.449411
38	698.474566
39	684.539064
40	678.251094
41	824.531382
42	784.764216
43	809.066373
44	748.565899
45	717.635882
46	689.085097
47	561.498776
48	505.926712
49	516.803201
50	545.523932
51	569.316253
52	548.073109
53	523.431062
54	555.040860
55	518.502653
56	530.908649
57	500.148576
58	441.347555
59	390.024119
60	358.584267
61	374.729056
62	326.464633
63	280.919333
64	269.057161
65	260.220014
66	259.540233
67	249.513469
68	287.411238
69	346.382205
70	353.995747
71	342.949313
72	329.540640
73	288.413914
74	236.070808
75	175.060499
76	196.133698
77	204.800900
78	226.196995
79	216.170231
80	216.850011
81	223.817763
82	221.778421
83	231.805185
84	239.282771
85	235.713923
86	226.027049
87	224.497543
88	230.105733
89	232.824856
90	245.910632
91	263.414982
92	285.337907
93	282.108949
94	266.983831
95	277.350485
96	274.291472
97	294.345000
98	308.620392
99	332.242768
100	331.732933
101	340.909971
102	334.622000
103	323.405620
104	304.711654
105	295.024780
106	300.972861
107	288.396920
108	289.416590
109	293.835164
110	318.307266
111	333.602329
112	358.584267
113	349.577174
114	342.779368
115	344.138929
116	335.811616
117	325.105072
118	337.341123
119	342.609422
120	375.578781
121	362.493005
122	339.550410
123	339.890300
124	319.496882
125	327.994139
126	320.686498
127	331.053152
128	331.562988
129	327.144414
130	346.178271
131	353.485912
132	351.616515
133	387.304997
134	396.991870
135	400.220828
136	365.382072
137	358.244376
138	347.707777
139	309.300173
140	313.038966
141	303.012202
142	286.527523
143	245.230851
144	230.785514
145	217.019957
146	217.019957
147	219.909024
148	232.315020
149	233.504636
150	210.052205
151	205.633631
152	195.946758
153	186.089939
154	190.848403
155	193.907416
156	193.057690
157	177.932572
158	163.317289
159	164.846795
160	173.513998
161	178.952243
162	183.030927
163	190.508513
164	182.691036
165	193.567526
166	199.515606
167	207.672973
168	218.889353
169	212.941273
170	214.810670
171	204.104125
172	192.038019
173	201.385003
174	204.953851
175	224.837433
176	227.046720
177	211.921602
178	201.724893
179	213.621054
180	243.531400
181	270.212789
182	308.450447
183	341.249861
184	349.917064
185	328.164085
186	326.634578
187	329.523646
188	334.791945
189	362.493005
190	374.389165
191	377.278233
192	377.108288
193	415.176001
194	445.086348
195	478.565542
196	508.815779
197	579.512962
198	616.900895
199	580.022797
200	583.251755
201	597.017312
202	644.262064
203	673.662575
204	663.465866
205	696.435225
206	672.812849
207	678.251094
208	663.465866
209	671.793178
210	727.195297
211	734.163048
212	727.875077
213	708.841221
214	731.104035
215	723.626449
216	724.306229
217	773.930213
218	853.804434
219	861.451965
220	795.173357
221	810.128530
222	875.107058
223	947.012551
224	1070.605161
225	1129.910920
226	1266.871416
227	1310.836226
228	1443.169115
229	1561.002285
230	1721.335337
231	1898.503156
232	1999.669804
233	2123.168945
234	2090.502088
235	2162.835842
236	2273.169332
237	2397.501204
238	2699.667079
239	2804.334598
240	2899.500483
241	3026.833586
242	3141.833769
243	3362.667295
244	3527.167403
245	3765.500180
246	3868.000898
247	3735.834555
248	3508.500627
249	4054.000766
250	4012.999800
251	4270.165899
252	4866.498332
253	5412.831202
254	5662.830715
255	5049.496969
256	5136.998328
257	5185.165882
258	5187.332682
259	5323.666080
260	5646.833778
261	6405.834309
262	6325.332991
263	6333.998494
264	6390.833251
265	6371.999929
266	6444.833322
267	5847.666459
268	5779.668005
269	5451.002582
270	5167.002144
271	5149.334646
272	4978.001044
273	4991.334941
274	4999.500805
275	4890.000047
276	4408.499552
277	3908.667073
278	3629.999513
279	3641.166609
280	3973.499448
281	4068.833579
282	4101.500436
283	4021.667002
284	4075.833620
285	3775.666299
286	3607.833567
287	3704.333522
288	3945.500985
289	3826.999931
290	3583.833913
291	3848.166600
292	3721.499682
293	3708.665424
294	3673.831766
295	3863.832144
296	3773.999137
297	3393.333897
298	3440.333928
299	3447.333969
300	3499.167240
301	3145.834278
302	3058.834258
303	3001.666409
304	2790.665909
305	3069.166923
306	3649.332474
307	4605.499969
308	4882.833460
309	5098.001014
310	5270.169047
311	5088.001441
312	5488.001341
313	5983.999857
314	7139.832511
315	8155.499503
316	8677.666173
317	8785.666316
318	8324.333212
319	8429.167276
320	8516.167297
321	8713.667353
322	9287.833841
323	10084.667562
324	9991.835023
325	9975.001956
326	10633.168932
327	11113.335358
328	11620.001331
329	12444.666969
330	13281.167587
331	12692.501380
332	12045.501500
333	12300.334252
334	12707.833831
