time	cases
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	1.000725
8	2.833466
9	2.833466
10	3.000528
11	3.166767
12	4.664562
13	6.162357
14	4.162554
15	11.997174
16	18.331531
17	17.998230
18	22.499845
19	29.972361
20	41.493862
21	77.852426
22	92.336598
23	109.371960
24	122.868575
25	150.437880
26	172.904806
27	167.884724
28	189.364093
29	222.694149
30	251.497900
31	248.288339
32	263.430883
33	278.408834
34	271.249044
35	287.872924
36	309.599182
37	331.407737
38	347.290949
39	354.779924
40	376.999961
41	370.827729
42	383.468461
43	580.830121
44	655.649101
45	715.175757
46	822.984084
47	900.834042
48	995.500452
49	863.666503
50	842.000321
51	850.499897
52	767.298203
53	695.455885
54	582.141103
55	566.641393
56	604.474710
57	570.975123
58	551.717758
59	601.726009
60	601.396823
61	534.415756
62	441.043046
63	404.705878
64	378.700205
65	319.063272
66	309.681479
67	315.853711
68	288.366702
69	272.730380
70	258.657690
71	227.467342
72	209.032941
73	204.012858
74	192.079875
75	165.745017
76	169.448356
77	214.464505
78	199.404258
79	175.373699
80	162.864642
81	159.655081
82	141.632162
83	81.308876
84	72.503158
85	76.371090
86	78.346205
87	73.161529
88	74.478272
89	69.943739
90	68.626996
91	55.788752
92	48.949919
93	48.291547
94	48.703029
95	54.554306
96	43.863999
97	45.024379
98	44.357778
99	39.049658
100	32.177905
101	23.166446
102	23.503861
103	17.339859
104	14.838047
105	12.509058
106	11.175856
107	15.669241
108	15.998427
109	17.669044
110	17.167036
111	17.167036
112	17.504451
113	12.171642
114	11.842457
115	9.669831
116	8.172036
117	8.336629
118	6.830604
119	6.164003
120	6.657781
121	9.661601
122	9.328301
123	11.830112
124	12.834129
125	12.002935
126	12.504943
127	10.167724
128	11.669634
129	10.838440
130	9.669831
131	10.171839
132	8.838637
133	11.175856
134	13.340252
135	14.006853
136	16.171249
137	16.673257
138	21.339465
139	19.668848
140	18.171052
141	19.833440
142	20.335449
143	20.335449
144	16.006656
145	19.841670
146	20.170856
147	16.006656
148	15.842063
149	18.171052
150	19.166839
151	15.002640
152	18.335645
153	19.331432
154	30.318006
155	32.655225
156	37.988034
157	44.958542
158	46.464566
159	51.797375
160	45.954328
161	51.139004
162	60.101085
163	80.263711
164	83.950592
165	85.752884
166	82.938346
167	77.580848
168	76.428698
169	58.488075
170	79.802851
171	81.531077
172	85.333172
173	110.194924
174	103.051594
175	113.503241
176	93.998986
177	108.483158
178	109.388419
179	102.887001
180	109.042774
181	114.556635
182	116.367157
183	111.676260
184	125.172875
185	107.314549
186	101.636095
187	110.277221
188	110.112628
189	104.598767
190	97.027495
191	128.876215
192	143.360387
193	124.761393
194	160.971824
195	159.655081
196	176.196664
197	172.822510
198	176.361257
199	201.790855
200	185.249271
